what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1385490173127
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1385490173159
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1385490173206
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1385490173280
opened,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1385490173374
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1385490173389
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1385490180262
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490188572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490195335
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490196366
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490201644
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490206122
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1385490207028
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490215319
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490216585
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490224851
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490241706
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490278237
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490280499
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490289629
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490294821
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1385490295548
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1385490298529
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490298857
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385490299185
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1385490299271
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490299678
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490304397
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1385490305741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1385490306382
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385490307628
